,comments,score,sentiments
6614,"HAYU PAPUA MERDEKA,TEMBAK AJAH PENAMBNGAN TUHHH",0,neutral
6615,Ternak mana nih ternak??? Diem BAEK 😂😂😂,1,positive
6616,Jkw Rakus Banget pasir laut juga Di jual skr boss2 besar lagi Nego dengan Trader malaysia Sultan Johor,-1,negative
6617,"Lingkungan laut rusak,air laut tk indah lagi.",-1,negative
6618,"Keuntungan tambang itu untuk sispa ya, kok, rakyatmya masih mis bae😂",1,positive
6619,"Hai orang2 serakah, tunggu pertanggung jawabanmu dihadapan rakyat & dihadapan Allah SWT",1,positive
6620,"Nyuri singkong di pidana,nyuri nikel tanpa izin cuman di hukum perdata 😂",-1,negative
6621,Keruk aja terus buat penguasa .... Rakyatnya tetap miskin tralala .....,1,positive
6622,"Yang memberi izin siapa, pasti imbalannya kepada pejabat perizinan ini, sungguh menyedihkan mereka .😢😮",-1,negative
6623,"Para bos penerbit ijin, mhn distop saja dan cabut ijin.",0,neutral
6624,Ya kyak gini klo monong putih berkuasa 2 peride..rusak sampai akhir jaman,-1,negative
6625,Sedih rasanya kalau melihat seperti ini 😢😢😢,-1,negative
6626,Pejabat dan Oligarqi bisanya merampok hasil bumi di Indonesia. Rakyat Indonesia masih miskin dan sengsara.,-1,negative
6627,"Sekolah atas2 gunanya gk ada, kalah sma hati nurani rakyat, pengen ngomong kasa ama pemerintah😅",-1,negative
6628,Pantesan OPM ingin merdeka,-1,negative
6629,"Kira kira, bisa gak KDM secepatnya jadi presiden??
Kasihan warga Papua",-1,negative
6630,Menurut gw itu tambang emas.,0,neutral
6631,Yg salah berat yg ngasih ijin tambang ini krn mrk yg ngundang masuk....jd harus dipertanggung jawabkan biar masyarakat semakin percaya,-1,negative
6632,Maling rampog alam di rusak,-1,negative
6633,Gerombolan oligarki bermasalah harus di bersihkan,-1,negative
6634,"Jangan hanya diancam perdata,karena sudah menyalakan dan membuka lahan tidak pada wilayahnya.pemerintah harustegas,tutup permanen langsung dipulihkan dengan penanaman pohon kembali.",-1,negative
6635,Berarti perusahan yg satu tdk pny ixin harus di pidanakan😮 krn sdh merusak alam,-1,negative
6636,"Rakusnya pasir laut dikeruk di jual pantai dipagar, tempat wisata di gali, dana haji di embat
Smg segera kena ajab",-1,negative
6637,Jangan Serakah jangan di eksploitasi. Tinggalkan untuk anak  cucu,-1,negative
6638,Pertanyaannya...siapa yg mmberi izin gunung2 raja Ampat d keruk bgtu. Trus pertanyaannya...hasilnya buat siapa.  Ini yg hrus bner d teliti n d kaji bnar2. Jngn smpai tanah negeri ini cm BS d nikmati orang2 berduit saja. Kasian masyarakt Papua.,1,positive
6639,Setelah kalimantan..giliran papua yg di rusak😢,-1,negative
6640,BAKRIE HARTARTO LUHUT BAHLUL BOBBY JKW SEMUANYA RAKUS PERUSAK ALAM NKRI MASA RAKYAT DIAM AJA....PAK PRESIDEN BANTU KAMI RAKYAT INDOONESIA,-1,negative
6641,RUSAKLAH RAJA EMPAT,0,neutral
6642,ayooo laawaan para perampok negara mereka sangat kaya rakyat miskin.....kita cukup kuat untuk melawan koruptor dan penjahat negara,-1,negative
6643,biang kerok yg bikin ijin tabang nikel ituh si bahlil si Mentri tolo yg bikin onar di kabinet Prabowo,-1,negative
6644,Tugasss netizeenn kawaaalllll...up like trus video tntg raja ampat,1,positive
6645,"China Asal nambang,ndak Memikirkan Dampak lingkungan, .. lihatlah Morowali, kacau2... Padamu negeri..",-1,negative
6646,"Yang kaya NKRI
yang menikmati hasil tambang SIAPA. ???",-1,negative
6647,Bahlul. Bobay. Joko  gibrum,-1,negative
6648,Sangat jelas mereka merusak negeri ini. Bagaimana anak cucu kita kelak. Bereskan dulu pera corup. Dan problem² lainnya,-1,negative
6649,"Sampai sedih aku dwnger kalo pulau indah itu mau di jadikan nikel,gak kasihan emang sama para hewan yang hidupnya sehat bersih tapi kenapa harus dijadikan nikel indonesia tidak akan maju kalo begini caranya,orang negara lain aja pada suka karna keindahannya tapi malah dijadikan tambang",-1,negative
6650,"Kelakuan para pejabatnya aja rakus dan sangat korup. Hasil bumi yg melimpah, tapi rakyatnya masih miskin.
Kita juga tidak bisa menyalahkan OPM, karena mereka juga melindungi tanah mereka yg sudah dirampok oleh para pejabat rakus yg hanya mementingkan perutnya sendiri.",-1,negative
6651,Para penguasa sudah tidak peduli kerusakan alam ini,-1,negative
6652,Rakyat papua demo besar2an..bila perlu lakukan perusakan n ambil alih itu lahan....toh selama ini yg namanya tambang...gak pernah bikin rakyat kecipratan boro2 mau angkat derajat warga setempat...liat sumsel tambang batubara siapa yg nikmati...dan daerah2 lainnnya...bila perlu setiap daerah bikin BUMD untuk mengolah hasil bumi nya tanpa perlu berbagi dengan pusat soal penghasilan.,-1,negative
6653,Pejabat Indonesia melegalkan segala cara utk memperkaya diri,-1,negative
6654,Raja Ampat kaya raya ampat kali.,-1,negative
6655,"Masalahnya siapa yang memberi izin tambang di raja Ampat? 
Siapa dalangnya?
Media mana berani cari tahu? 
Yang di ulas media cuma bagian luarnya saja😂😂😂😂",-1,negative
6656,save and free papua,1,positive
6657,"KEKAYAAN ALAM DI NEGRI INI HANYA DI MILIKI PARA ELIT ,BUKAN DIMILIKI RAKYAT... MALAHAN ELIT HANYA MERUSAK WILAYAH KITA TRUS MEREKA YG SENANG... MAKA HENTIKAN DAN USIR SEMUA PERUSAK ALAM DI NEGRI INI...",-1,negative
6658,Itu kan nanti diangkut oleh tongkang tongkang tongkang itu lewat dari laut itu Laut biru di bawah laut biru itu terumbu karang cantik-cantik laju dihancurkan oleh jangkar jangkar kapal yang banyak di sana 😢,-1,negative
6659,Negara makmur melimpah rank 2 termiskin setelah zimbabwe.. kocakk,1,positive
6660,"KLU UNTUK  KEPENTINGAN BGS  GPP.
TP. KLU  PENGKIANAT  LEBIH BAIK DI SIKAT",1,positive
6661,"Pantesan mati""an pengen MERDEKA, jd PAHAM sekarang😢😢😢",-1,negative
6662,orang elit yang berkuasa ... demi uang kau babat,0,neutral
6663,"KAlau rakyat yg ngelola ditangkap polisi,kalau orng asing yg ngelola polilsi dpt setoran aman😂😂😂",1,positive
6664,"indonesia tuh  masuk kategori negara miskin akan SDA....buktinya pajak SDA setiap tahun turun terus di bawah 10%...klo pun mau beli  Sda ,...harus ke singapura....yg menikmati semua sda ini ya singapura.....dimari cuma kacung doang....HPE sda senua di taro dalam bentuk dolar ribuan trilyun berada di singapura....",-1,negative
6665,Kenapa harus ditambang?,-1,negative
6666,"Masalah lingkungan hidup bersifat SISTEMIK dan HOLISTIK karena terkait dgn HUBUNGAN BIOTIK (Manusia, Flora dan Fauna) dan ABIOTIK (Udara, Tanah, Air). Kawasan Ekosistem Pulau RAJA AMPAT sangat potensil hanya untuk Pengembangan Wisata Alam saja. TIDAK COCOK UNTUK PENGEMBANGAN PERTAMBANGAN. SANGAT RAWAN TERJADI KERUSAKAN LINGKUNGAN YG FATAL, KARENA ADA EKOSISTEM TERUMBU KARANG, EKOSISTEM MANGROW DAN EKOSISTEM PADANG LAMUN SERTA EKOSISTEM HUTAN.",-1,negative
6667,😢😢  berhenti sd menghancur allam aja  mau cari kaya yg gmn k,-1,negative
6668,"Semoga kekayaan bumi Indonesia dikelolah dengan adil. Sehingga sebagian keuntungan turun ke rakyat juga, walaupun pengusaha pun perlu untung.",-1,negative
6669,"Dari presiden sampai kades korup,,gmn gak hncur negri...",-1,negative
6670,Mmm.. w ragu klo dia tanpa izin😅,-1,negative
6671,Maruk ya Allah .... Papua yg kaya dicuri gunung emasnya kini keindahan alamnya..save Papua raja empat,1,positive
6672,"tamak, rakus, serakah. kaya kurang kaya. kalian rusak tanah leluhur orang",-1,negative
6673,Kerukk terus sebentar lagi juga bumi akan marah 😢,-1,negative
6674,"Papua harus merdeka, pemerintah Indonesia rakus. Tidak adil.",-1,negative
6675,"Dimana mana ditambang ....
kok rakyatnya tetap miskin....
Badala......",0,neutral
6676,Bahlil perlu diperiksa oleh penegak hukum...tanpa dukungan Bahlil gak mungkin ada penambangan Nikel di raja empat Papua....,1,positive
6677,sampe kiamat presiden indonesia jg g bakal ada yg bner 🤣🤣🤣,1,positive
6678,"Kalau seperti ini, akan banyak yg bersimpati dengan perjuangan OPM

Ayolah pemerintah..apa tidak ada ide dan cara lain untuk mensejahterakan rakyat selain dengan cara melakukan pengrusakan alam seperti ini??",-1,negative
6679,"Binatang semua itu yg rusak pulau2 raja ampat,hukum mati aja
Sama dengan kasus tambang timah",-1,negative
6680,"Jangan kasih izin dengan Alasan apapun, untuk menambang
Kita Tolak keras penambangan Raja empat",-1,negative
6681,"Alam di rusak. Bayar pajak membengkak, hutang negara makin melonjak, rakyat makin sengsara, jamanya siapa itu ya?",-1,negative
6682,Di Indonesia harus nya jangan ada pertambangan lagi karena mayoritas hanya memperkaya para penguasa...,-1,negative
6683,"Astaghfirullah innalillahi semoga Allah segera membalas orang2 rakus.serakah dn dzolim dengan balasan yg setimpal,mirisss 😢😢😢",-1,negative
6684,Ngga mungkin bisa berjalan klo ngga dapet izin dari Mentri ..dan Mentri berkoordinasi dgn peciden dan  menkonya saat itu ..jadii tau kan...,-1,negative
6685,Kenapa ga dari dulu pada demo jelas di nikmati negara lain sekarang Indonesia mau berbenah justru di demo,-1,negative
6686,"Kenapa harus di kasih ijin? Apapun alasan nya hentikan penjarahan tambang. Sy tidak menyalah kan beberapa konflik di papua, karena kelakuan para penjarah bikin susaj rakyat...",-1,negative
6687,"Sayangnya sumber alam hanya dinikmati elit, rakyat bagian bayar pajak dan ga dpt apa2, hanya bikin ormas. Karena ormas bisa kelola tambang. Tp ormas jg rata2 pumya elit.",-1,negative
6688,"Ternyata Pejabat dan pengusaha di Negara ini jauh lebih Busuk... 
Wajar jika Papua menginginkan Kemerdekaan.",-1,negative
6689,"Sekarang tau kan manfaatnya ceck in balance, apa jadinya kalau pdip gabung pemerintah bisa anda jawab sendiri",-1,negative
6690,Kalau raja ampat dikelola dengan baik untuk dijadikan tempat wisata😁grenti wisata indonesia akan naik terus✅,0,neutral
6691,Pantasan papua mau merdeka😂😂hasil buminya di ambil tapi rakyatnya ttap menderita dn kelaparan.,-1,negative
6692,"Rusak...rusak....
Nanti yg melanggar plg2 hukumannya ringan...
Lama2 nggak ada tempat yg bisa dibanggakan di negeri ini",-1,negative
6693,"Orang papua jangan mau di bodohi wong solo,  mereka menjajah mu hasil bumimu di keruk untuk  kekayaan wong solo,  kamu tetao miskin pakai koteka kasihan",0,neutral
6694,"Orang papua jangan mau di bodohi wong solo,  mereka menjajah mu hasil bumimu di keruk untuk  kekayaan wong solo,  kamu tetao miskin pakai koteka kasihan",0,neutral
6695,"Orang papua jangan mau di bodohi wong solo,  mereka menjajah mu hasil bumimu di keruk untuk  kekayaan wong solo,  kamu tetao miskin pakai koteka kasihan",0,neutral
6696,"Orang papua jangan mau di bodohi wong solo,  mereka menjajah mu hasil bumimu di keruk untuk  kekayaan wong solo,  kamu tetao miskin pakai koteka kasihan",0,neutral
6697,Sy sdh pernah bilang kerusakan alam Indonesia bukan d timbul kan krn ulah rakyat ny tpi pemerintah itu sendiri yg merusak ny,-1,negative
6698,"Grenpiace itu antek Asing, waspada ada muatan utk membuat RI tidak berinkam , asing senang Indonesia sll miskin agar bisa mereka atur",-1,negative
6699,"Tutup saja ,perusak alam dan lingkungan.Ini kong X Kong kalangan atas.",-1,negative
6700,"Ini yang perusak indonesia adalah pulau jawa
Raja korupsi semua nya adalah orang dari pulau jawa😂😂😂",-1,negative
6701,"Ini akal2an aja ijin Tambang nikel yg keluar emas apapun jenis tambang yg jelas lingkungan hancur....yg kaya oligarki rakyat Indonesia tetep. Miskin..... Yg keluarkan kebijakan dan ijin tambsng adalah para pejabat yg rakus, seraksh dan bahlul.... Alam kalo udah di explorasi tambang maka hancurlah lingkungannya tinggal bebatuan ga bisa ditanami tanaman agi.... Generasi berikutnya akan makan apa???",-1,negative
6702,Wilayah raja ampat sedang di perkosa..,0,neutral
6703,Berangus geng Solo dn oigrki perampok😡😡😡,1,positive
6704,Manusia serakah merusak seluruh alam,0,neutral
6705,"pemimpin itu hrs visioner memiliki nilai2 kemashalatan untuk rakyatnya, berkeadilan. bukan skedar kerja kerja. tugas pemerintah sekarang untuk mengaudit, transparan. proses hukum bila terjadi pelanggaran, tanpa PANDANG BULU.",0,neutral
6706,Bgni2 yg papua mau berdiri sendiri krna Kam dtg rampas kekayaan alamnya...,-1,negative
6707,Yang merusak alam itu manusia sendiri. Terutama manusia2 tamak yg TIDAK peduli akan akibatnya !,-1,negative
6708,Muak dg ulah perusak lingkungan.,-1,negative
6709,Love Your Country🙏🏻❤️🇮🇩,-1,negative
6710,"Sudah sepak bola nya yg di hilangkan [Persiram Raja Ampat ], skrng daerah nya juga terancam..",-1,negative
6711,"ternyata kita benar2 kaya,tpi semua dimakan penguasa tamak beserta kroni2 nya....😢",-1,negative
6712,"Banyak betul sumber daya alam indonesia masih ja hidup miskin gali lubang tutup lubang dengan hutang kemana larinya hasilya

Pa prabowo tolong bila emang bpa yg saya pilih memihak rakyat usut semua 

Raja empat hanya bagian kecil yg terungkap kepublik",-1,negative
6713,ada pantas nx jga opm minta merdeka...tambang sdh merambah papua tpi rakyat masih jga miskin dn tertinggal.. yg kaya pejabat dn penguasa..,-1,negative
6714,"Saya sangat dukung papua merdeka.
Krn penerintany sndr rakus dan tamak. Kasian rakyat papua, sllu kekurang dr jenis pendidikan dan ekonomi.",-1,negative
6715,⭐Wilayah Konservasi alam Dunia Pak Prabowo!!!,-1,negative
6716,Yg Jelas yg punya para pejabat,0,neutral
6717,"Oh,,,, Tuhan😢😢😢 raja ampat sdh terkenal dgn tempat parawisata  sampai mancanegara,  knp pemerintah trada kebijakan lain kh",-1,negative
6718,"TAMBANG HARUS DIKUASAI NEGARA BUKAN PERORANGAN MAUPUN ORMAS..
PEMBUKAAN UNDANG UNDANG 45 JELAS MENERANGKAN ITU.....!!!!!

JANGAN SALAHKAN RAKYAT MEMBERONTAK KEPADA NEGARA .

NEGERI MAKMUR KAYA HASIL BUMI , TAPI RAKYAT BANYAK YANG MISKIN DAN HUTANG NEGARA MENUMPUK.....
PERTANYAAANYA ..KEMANA LARINYA HASIL KEKAYAAN ALAM INDONESIA ITU ??",-1,negative
6719,Makin kacau indonesia,1,positive
6720,"Bumi, air, dan kekayaan alam yang terkandung didalamnya/diBumi Indonesia, dikuasai oleh sekelompok orang dan digunakan sebesar besarnya tuk kepentingan kelompok elite tertentu. Indonesia kaya Sumber daya alam, namun sebagian besar rakyatnya ttp miskin.",-1,negative
6721,Hasil bumi habis dikuras n rakyat tetap menderita menikmati kerusakan lingkungan huff 👎👎👎,-1,negative
6722,Ruwet,-1,negative
6723,"Indonesia kaya akan SDA..
tapi hanya segelintir yang menikmati. Wajarlah kalau warga marah",-1,negative
6724,"Rusaklah laut raja 4, 
indonesia itu aneh, klo masyarakat ngambil kayu d tangkap klo orng asing d biarkan.. aplgi tambang.",-1,negative
6725,"Nipu Rakyat Papua...Bangun Infrastruktur Jalan.. ternyata untuk kepentingan dia n kroni""nya  untuk fasilitasi kelancaran operasional Tambang"" ...😠",-1,negative
6726,Sungguh dzalim pejabat yg memberi izin perusakan alam di raja Ampat....,-1,negative
6727,Usut tuntas mereka2 itu hnya penghancur alam indonesia.,-1,negative
6728,Usut tuntas mereka2 itu hnya penghancur alam indonesia. BPK Suharto katanya kejam TPI rkyat TDK pernah menderita,-1,negative
6729,Syo ge di kerukin mulu,-1,negative
6730,Bagaimana gak menaaaanggg ??? banyak hepeng…😢,-1,negative
6731,Yg beri ijin termasuk bupati terkait tangkap semua pasti ada korupsi!,-1,negative
6732,"Ini yg katanya hilirisasi, ijinnya ga jelas",-1,negative
6733,Ternyata banyak yg disembunyikan tidak disorot media terutama dipapua,-1,negative
6734,"SEMOGA PAPUA SECEPATNYA MERDEKA...GAK USA DENGARIN PARA PEJABAT BIADAB ITU
SEMANGAT PARA MILITAN❤",1,positive
6735,"Milik kroni atau milik nergara?!
Aduhai, suapakan presiden RI yang boleh menggunakan kekayaan hasil negara untuk membayar tuntas hutang2 negara seperti yang dilakukan presiden muda Burkina Faso?",1,positive
6736,"Ya allah... manusia"" ko pada rakus banget yah ?  Semoga para pejabat kita di beri kesadaran, betapa pentingnya melestarikan hutan untuk generasi setelah kita",1,positive
6737,Mari bersuara untuk Papua,-1,negative
6738,perbuatan kalian(pemerintahan)akan dimintai pertanggung jawaban diakhirat....siapa yg menanam pasti akan memanen....,0,neutral
6739,Hasil tambang dinikmati oleh segelintir orang kaya bukan untuk kemakmuran bagi rakyat Indonesia biarpun pemilik nya BUMN tapi habis digarong petinggi dan pejabat di nkri ini... Hancur Indonesia ini karena keserakahan😢😂,-1,negative
6740,Prabowo rakus seperti tikus,-1,negative
6741,hahahahahha😅😂😅😅😂,1,positive
6742,"Stop pemerintah kurang ajar semua mau dirusaknya, rakyat cuman melihatnya.",-1,negative
6743,"Save raja ampat dan stop pertambangan tsb demi pelestarian  alam, hasilnya tdk jelas, pemerintah wajib hentikan tambang tsb",-1,negative
6744,"Mundur aja , malu jd pemimpin negeri ini, kalau hanya merusàk negeri ini",-1,negative
6745,Rata rata pemimpin indo itu binatang,-1,negative
6746,Tambang rakyat di kejar2....eh giliran tambang elite kata nya punya izin....parah nya pejabat2...yg banyak duit dan punya kuasa makin kaya...yg menengah ke bawah makin terhimpit.....,1,positive
6747,Wajar papua minta merdeka karena ulah pemerintah yang doyan korupsi,-1,negative
6748,"OPM Papua, GAM Acheh dan FRETILIN, Timor Timur hadirr.......",0,neutral
6749,😂  sedeh  papua,1,positive
6750,"presiden kemana kah dirimu?? 
Apakah kau sudah tidak bisa melihat?? 
Apakah kau sudah tidak bisa mendengar..",-1,negative
6751,Papua Auto Qatar klo bebas dari Konoha..,-1,negative
6752,Masalahnya hanya satu KORUPSI..!!!!,-1,negative
6753,Serakah,0,neutral
6754,Ayoookk selmatkan keindahan bumi raja ampat,0,neutral
6755,"Memalukan 
Papua propinsi yg begitu byk tambang nikel, emas tetapi kenapa tidak bisa di prioritaskan pembangunan disana",-1,negative
6756,"Yang salah ya pejabatnya. Presiden yang dulu. Alam rusak hancur diserap, hutang menggunung, pabrik tutup rakyat miskin.",-1,negative
6757,Ini semuanya otak luhut,-1,negative
6758,Rusaknya dunia didarat maupun lautan qkibat tangan-tangan orang yg serakah,-1,negative
6759,"Rusak3x....
Parah3x....
Korupsi merajalela....",-1,negative
6760,Jkw sumber masalah negeri ini,-1,negative
6761,Gimana NKRI ini sbnrnya kaya knapa harus org asing yg menikmati. Pantas saja papua ingin memisahkan diri klo bgini sy stuju dgn KKB,-1,negative
6762,Perlawanan kkb akan semakin mrnguat  dan meluas,1,positive
6763,"CULIK DAN ADILI PERUSAK TAMBANG NIKEL DI PULAU GAG RAJA AMPAT PAPUA TSB. S I SPAPUN PELAKUNYA WAHAI RAKYAT INDONESIA ATAU RAKYAT PULAU GAG PAPUA,",-1,negative
6764,Korupsi terus..rakyat miskin mendonia..,-1,negative
6765,Pemerintah pusat sesukanya menjual tanah2 ulayat masyarakat daerah. tanpa perduli dengan lingkungan dan kehidupan masyarakat daerah. Semoga OPM sukses memperjuangkan kemerdekaan PaPUA.,-1,negative
6766,KDM kudu turun ieu mah ....,-1,negative
6767,TAMBANG DAN EKSPLUITASI HUTAN UNTUK MENGEMBALIKAN DAN MECARI KEUNTUNGA DARI BIAYA PILPRES DAN PILEG OLEH PENGUSA DAN PENGUSAHA,0,neutral
6768,"belum selesai yg di banten. skarang di raja ampat. asli binggun dengan negara kita ini.  
ini yg di aresiasai oleh dunia eh bisa bisa nya di rusak demi isi perut.",-1,negative
6769,Papua harus merdeka daripada di jajah Konoha,-1,negative
6770,TETAPLAH MENJADI PEJABAT WALAUPUN TIDAK BERGUNA,-1,negative
6771,Pejabat makan enak dari hasil tambang. Raja ampat bersatu usir perusahan.,-1,negative
6772,KALIMANTAN SUDAH HANCUR OLEH TAMBANG DAN PENDATANG YG TIDAK MEMNGHARGAI PENDUDUK ASLI KHUSUSNYA DARI JAWA DAN SULAWESI JANGAN BIARKAN LAGI DAERAH LAIN HANCUR,-1,negative
6773,Yg memberi izin juga harus di selidiki,-1,negative
6774,Rakus banget 4org ini nikel di jual di china via aguan. Bisnis haram harus di penjara org petamburan ga salah malah di penjara anak buahnya 6org di bunuh secara keji di km50.,-1,negative
6775,"Lihat story orang cina yang lagi tanding , ternyata benar Sebentar lagi Kita akan kehilangan negara ini karena ulah para petinggi yang korup yang rakus dan menjual negeri ini untuk asing😢😢sumber daya alam di rusak hanya untuk asing",-1,negative
6776,"Investor mah gk tau apa2 kalo dapet izin ya berarti sah !! Itu aja,, justru hal hal gini Investor selalu Merugi dan kabur pindah negara lain, karna di indonesia kasih lahan Investasi Berpolemik terus !!",-1,negative
6777,"Mana nih pemuja jkw, yg seakan buta mata hati dan pikiran dan tidak mau melihat fakta yg ada,dimata hati nurani kalian",-1,negative
6778,Manusia Serakah..,1,positive
6779,"Jangan sungkan dan takut habisi bos penjajah lokal anti cinta tanah air, mereka tak punya pasukan tempur dan rankur! Lebih sulit habisi penjajah asing yg punya pasukan tempur dan rankur. Intinya, jangan biarkan negeri ini dijajah penjajah apalagi penjajah lokal menggerogoti negara ini! !",-1,negative
6780,Yg berduit makin kaya rakyat kecil yg menderita ekosistem binasa,-1,negative
6781,"Oleh krn itu OPM disana Berjuang mati2an untuk merdeka krn bumi yg kaya yg mereka miliki tdk dpt mereka nikmati, mereka miskin diatas bumi merka yg kaya,, bila pemerintah dan para mafia2 di negri ini msh saja hanya mementingkan kepentingan mereka sendiri maka saya yakin Cepat atau lambat dan pasti akan lahir OPM2 Lain nya Di Negri Ini kedepanya....!!!!💪💪💪💪💪💪👍👍👍👍👍👍🙏🙏🙏",-1,negative
6782,"Kalo rakyat mau buat usaha UMKM,,,susahnya aturan minta ampun, mana diganggu,,,Satpol PP, kantor2 dinas yg mempersulit dan ORMAS2 jatah harian,,bulanan,..,kalau asing bebas",-1,negative
6783,"Kuasai sumber kekayaan alam   oleh negara untuk kemakmuran rakyat, dan jangan di kuasai oleh investor dan koporatif yang hanya memikirkan penguasa, hapus pemberian ijin  dengan dalil apapun jalankan sesuai UUD 45 bahwa bumi air dan kekayaan yg terkandung didalamnya di kuasai oleh negara dan dimanfaatkan untuk kemakmuran rakyat.",-1,negative
6784,"Kemana uang tambang ini wahai pejabat pejabat krn menteri2 para pejabat yg punya tambang2 nikel kelapa sawit, minyak, dan gas,",-1,negative
6785,Protes pun mana di dengar sama penguasa....,0,neutral
6786,"Lhkpn dicek tuh para pemberi ijin tambang ,berjibun itu kalau semua transparan mana nih kejaksaan usut tuh mentrinya.",-1,negative
6787,"4 pemilik tambang.....cm disebut 3, yg 1 lg siapa?",0,neutral
6788,Apalah fungsinya pejabat negara INDONESIA INI... GAK TAU? GAK MUNGKIN!!!,-1,negative
6789,"Manusia manusia serakah.. merusak alam.. gak berpikir bagaimana 50 tahun - 100 tahun ke depan cadangan bumi sekarang kalian ambil.. kalian hanya mementingkan hidup sekarang, anak cucu kalian nanti mau hidup di mana kalau alam sekarang kalian rusak?? Apa gak melihat data statistik jumlah manusia di bumi sekarang berapa? Sudah 8 miliar lebih!!

Setiap tahun angka kelahiran manusia terus bertambah, Bayangkan 100 tahun ke depan jumlah manusia akan ada berapa miliar?  dengan sumber daya alam yang habis kalian kuras?? Alam akan rusak sumber makanan akan hilang.. mau makan apa anak cucu kalian nanti, kalau kalian sangat rakus!!",-1,negative
6790,"Keruk doang sana sini negaranya miskin rakyatnya miskin, wahai pejabat dan presiden kalian kan yang paling pinter tuh kenapa kok negara ini tetap miskin ??? Udah habis berapa gunung emas juga tetap miskin. Masalah utama atau hama negri ini apa ???",-1,negative
6791,MASALAH APA LAGI MENYUSUL,-1,negative
6792,"Kolonial Belanda tak serakus pejabat yg rakus dan serakahnya, yg tega mengkhianati bangsa dan negara,,, Indonesia  gk ada gunanya didirikan",-1,negative
6793,OALAH TAHUN 2018 TOH MULAI BEROPRASI? BERARTI JAMAN PRESIDEN NGANU?,1,positive
6794,Pasti ada bekingan dari pemerintahan.. nggak mungkin..ini tambang nikel terbesar,-1,negative
6795,LEPASKAN PAPUAAAA..!!!!,-1,negative
6796,Ayoooo pak Prabowo mana jnji2 mu untuk Daerah2... bongkar mafia tambang perusak ke indahan alam,-1,negative
6797,Mirisnya di negara ini. Orang yang mengaku paling NKRI tapi ternyata yg merusak nya,-1,negative
6798,"pantasan papua ingin pisah,krn klakuan pemerintahx yg serakah",0,neutral
6799,"Allah SWT menciptakan keindahan raja ampat itu utk di nikmati dan di manfaatkan betul betul utk edukasi hambanya.
Orang yg mengerti akan itu adalah orang yg beragama, orang yg merasa sebagai warga negara sejati yg tahu arah masa depan yg semestinya, dan sebagai orang yang waras.

Bila..... Dan bila orang yg merusak rencana Allah tsb, termasuk yg memberi izin beserta tenaga kerja nya, mereka di mata Allah adalah budak dari nafsu syaitan.
Dan di mata manusia sendiri mereka adalah orang orang yg tidak waras.

Wahai pemimpin negeri. Sebelum Allah murka kepada kita semua ..... Selamatkan lah Raja Ampat",-1,negative
6800,Pendukung 58% pasti bangga melihat ini😂,1,positive
6801,udah pripot sekarang raja ampat pemerintah serakah semoga jadi arang di neraka jahanam nanti amin..,-1,negative
6802,Nggragas ya Allah..,1,positive
6803,Keruk terus sampai rata😂😂,-1,negative
6804,Tau gini dukung opm😢,-1,negative
6805,"Jangan sampai tau ada theling Limbah preefort di pesisir pantai papua dan bawah laut natuna, uranium lebih ganas kalau sampai tau selesai korupsi bakal lebih banyak di jual ke asing buat bahan baku nuklir negara lain. Miris",-1,negative
6806,"Indonesia kaya, gunung di keruk. Masyrakat indknesia teto miskin tapi alam semakin rusak pejabat joget joget",-1,negative
6807,Ini yang bikin OPM mau merdeka,-1,negative
6808,Kita sebagai masyarakat cm bisa do'ain siapa saja pejabat2 dan petinggi2 di negri ini yg memanfaatkan jabatan nya untuk korupsi dan memperkaya diri  sendiri atau kelompok semoga allah swt hinakan mereka beserta kluarga nya dunia akhirat. 🤲 aamiin allahuma aamiin.,-1,negative
6809,Yg di sebut yakjud makjud dan dajal mungkin ya manusianya sendiri.karn mahluk di dunia ini hanya manusia yg bisa merusak alam,-1,negative
6810,Warga julan di puncak d obrak abrik ktanya menempati tanah negra .tp pengusaha di beri tanah ribuan hektar adilkah?,-1,negative
6811,"Bangkrut negara ini , sudah tau tempat wisata ko bisa ada ijinya , sudah jelas bukan orang ecek ecek di belakang semua ini , akibat kerja sama investasi dgn negara luar di janjikan pegolahan penambangan , ambil contoh presiden IBRAHIM TAURORE afrika burkina faso",-1,negative
6812,Kenapa haruss raja ampat😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,-1,negative
6813,"PERTAMBANGAN BERTEBARAN DI MANA-MANA DI BUMI PERTIWI,  IRONIS SEKALI RAKYATNYA PADA NGANTRI SEMBAKO , NGANTRI LAMAR KERJA, NGANTRI DAGING KURBAN. SEBENARNYA NEGERI INI KAYA ATAU MISKIN, YA.....?",-1,negative
6814,Wajat kalau Indonesia timur minta  merdeka...kalau bgini caranya..!!!,-1,negative
6815,Penjahat perusah maling binatang kalian semua,-1,negative
6816,"Itu kalo dah abis semua yg dicari dan dikeruk alam nya dan isinya, jadi apah yahhh itu daratan nyahh, ditinggalkan begitu aja terus lanjut cari hidden gem lagi atau dikelola jadi apa lagi gitu😅😅😅",-1,negative
6817,Haus duit banyak keterlibatan,-1,negative
6818,"Ga kelar kelar Haus duit , gila ya sampe kesini . Kacau",-1,negative
6819,"Terlalu banyak pejabat negara yang jadi penghianat bangsa,,, perusak lingkungan demi kepentingan pribadi dan golongan,,",-1,negative
